Mean_Monthly_Temperature (°C),Year,Month
27.5,2010,1
28.9,2010,2
28.6,2010,3
28.6,2010,4
29.2,2010,5
28.3,2010,6
27.7,2010,7
27.9,2010,8
28,2010,9
28.3,2010,10
27.4,2010,11
26.8,2010,12
26.3,2011,1
27.3,2011,2
27.1,2011,3
27.9,2011,4
28.5,2011,5
28.4,2011,6
28.7,2011,7
27.9,2011,8
27.8,2011,9
27.3,2011,10
27.1,2011,11
26.6,2011,12
26.7,2012,1
27.2,2012,2
27,2012,3
27.6,2012,4
28.2,2012,5
28.7,2012,6
27.7,2012,7
27.9,2012,8
27.9,2012,9
27.7,2012,10
27.1,2012,11
26.7,2012,12
27.1,2013,1
26.5,2013,2
28.3,2013,3
28.2,2013,4
28.2,2013,5
29,2013,6
27.8,2013,7
27.9,2013,8
27.5,2013,9
27.7,2013,10
27.1,2013,11
26.5,2013,12
26.2,2014,1
27.2,2014,2
27.9,2014,3
28.2,2014,4
28.6,2014,5
29,2014,6
28.7,2014,7
27.7,2014,8
28.5,2014,9
28.4,2014,10
27.5,2014,11
27,2014,12
26.9,2015,1
27,2015,2
28.2,2015,3
28.6,2015,4
28.7,2015,5
29,2015,6
29.1,2015,7
28.4,2015,8
28.7,2015,9
28.7,2015,10
28,2015,11
27.7,2015,12
28.3,2016,1
27.8,2016,2
29,2016,3
29.4,2016,4
29.3,2016,5
28.5,2016,6
28.4,2016,7
28.9,2016,8
28.3,2016,9
28.3,2016,10
27.4,2016,11
27.4,2016,12
26.9,2017,1
26.9,2017,2
27.4,2017,3
27.8,2017,4
28.5,2017,5
28.5,2017,6
28.3,2017,7
28.1,2017,8
28,2017,9
27.9,2017,10
27.1,2017,11
27,2017,12
26.1,2018,1
27.2,2018,2
28,2018,3
28.5,2018,4
28.7,2018,5
28.4,2018,6
28.5,2018,7
28.5,2018,8
28,2018,9
27.9,2018,10
27.3,2018,11
27.6,2018,12
28,2019,1
28.2,2019,2
28.7,2019,3
28.6,2019,4
29.3,2019,5
28.4,2019,6
