Date,Year,Month,Month_Name,Quarter,Day,Daily Rainfall Total (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
12/31/2019,2019,12,December,4,31,0,27.8,32.2,25.3,11.5,34.2
12/30/2019,2019,12,December,4,30,0,28,31.6,25.5,11.9,32
12/29/2019,2019,12,December,4,29,0,27.9,31.6,25.7,13.7,34.6
12/28/2019,2019,12,December,4,28,0,27.7,31.1,25.5,13.3,37.1
12/27/2019,2019,12,December,4,27,0,27.7,31.4,25.1,12.2,33.8
12/26/2019,2019,12,December,4,26,0,27.1,30.3,24.7,10.4,30.2
12/25/2019,2019,12,December,4,25,0,27.5,31.3,25.1,9.4,28.8
12/24/2019,2019,12,December,4,24,0,27.5,31.2,25.4,10.8,34.9
12/23/2019,2019,12,December,4,23,2.8,27.4,31.7,25.1,9.4,28.8
12/22/2019,2019,12,December,4,22,0,26.9,30.6,24.8,7.9,26.6
12/21/2019,2019,12,December,4,21,3.9,27.2,30.9,25.4,9.7,31.7
12/20/2019,2019,12,December,4,20,0,27.3,30.9,24.9,9.7,37.4
12/19/2019,2019,12,December,4,19,0,26.8,30.7,24.4,8.3,30.6
12/18/2019,2019,12,December,4,18,34.8,26.1,31.1,24,5.8,27.7
12/17/2019,2019,12,December,4,17,13.4,25.3,28.5,24.5,5,21.6
12/16/2019,2019,12,December,4,16,0,25.9,30.1,23.2,7.2,24.5
12/15/2019,2019,12,December,4,15,62.8,24.2,25.2,23.4,4.7,22.3
12/14/2019,2019,12,December,4,14,43.8,24.4,27,23,5.4,18.4
12/13/2019,2019,12,December,4,13,64.2,25.1,29.2,23,7.6,41.8
12/12/2019,2019,12,December,4,12,3.4,27,31.1,23.6,12.6,35.6
12/11/2019,2019,12,December,4,11,33.2,24.1,25.8,22.7,7.6,26.6
12/10/2019,2019,12,December,4,10,22.2,25,26.7,23,6.1,36.7
12/9/2019,2019,12,December,4,9,74.2,24.6,27.5,23.1,8.3,28.1
12/8/2019,2019,12,December,4,8,3,26.1,27.3,24.6,10.4,33.5
12/7/2019,2019,12,December,4,7,0.2,28,30,25.6,15.8,42.8
12/6/2019,2019,12,December,4,6,0,27.9,31.9,25.3,14,37.8
12/5/2019,2019,12,December,4,5,0,27.6,30.2,25.9,10.4,37.4
12/4/2019,2019,12,December,4,4,0,28.2,31.8,26,13.3,39.2
12/3/2019,2019,12,December,4,3,0,27.8,30.3,25.7,13.3,35.6
12/2/2019,2019,12,December,4,2,59.6,26.7,31.2,23.9,6.8,28.4
12/1/2019,2019,12,December,4,1,0,28.3,32.3,25.6,7.6,30.6
11/30/2019,2019,11,November,4,30,9.4,27.6,32.1,25,6.8,28.1
11/29/2019,2019,11,November,4,29,73.4,26.5,32,24,6.1,31.3
11/28/2019,2019,11,November,4,28,9,27.8,31.4,25.3,7.6,27.4
11/27/2019,2019,11,November,4,27,1.8,27.5,31.5,25.4,7.2,31.3
11/26/2019,2019,11,November,4,26,0,28.5,33,25.7,10.4,34.9
11/25/2019,2019,11,November,4,25,0,27.8,32.6,24.7,5.8,29.9
11/24/2019,2019,11,November,4,24,16.6,26.6,32.8,24.2,6.5,27
11/23/2019,2019,11,November,4,23,0.4,26.7,30.6,24.6,8.3,28.8
11/22/2019,2019,11,November,4,22,0.4,26.4,31.5,24.9,6.5,31
11/21/2019,2019,11,November,4,21,0.8,26.5,30.8,25.2,6.1,24.5
11/20/2019,2019,11,November,4,20,4,26.3,29.1,24.7,6.1,29.9
11/19/2019,2019,11,November,4,19,0,28,32.1,26.1,7.2,29.5
11/18/2019,2019,11,November,4,18,0.2,28.4,34,25.9,7.6,33.5
11/17/2019,2019,11,November,4,17,0,29,34.4,25.5,8.3,37.4
11/16/2019,2019,11,November,4,16,0,28.4,33.1,25.9,7.9,27.4
11/15/2019,2019,11,November,4,15,1.2,27.2,30.6,24.7,5.8,24.1
11/14/2019,2019,11,November,4,14,0,27.6,30.4,25.9,9.4,32.4
11/13/2019,2019,11,November,4,13,0,29,33.4,26.2,6.5,28.4
11/12/2019,2019,11,November,4,12,0,28.7,33.2,26.6,5,22.7
11/11/2019,2019,11,November,4,11,0,29.1,32.9,26.9,5.8,28.4
11/10/2019,2019,11,November,4,10,0,28.9,33.6,25,6.8,37.4
11/9/2019,2019,11,November,4,9,0,28.2,33.7,25.8,5.8,28.8
11/8/2019,2019,11,November,4,8,1.4,28.2,32.2,24,8.3,39.2
11/7/2019,2019,11,November,4,7,0,29.9,33.5,27,9,27.4
11/6/2019,2019,11,November,4,6,0.2,29.4,32.7,26.3,7.9,30.6
11/5/2019,2019,11,November,4,5,0,28.2,32.2,26.1,6.5,32
11/4/2019,2019,11,November,4,4,3.8,28.6,32.1,25.8,5,23.8
11/3/2019,2019,11,November,4,3,0,28.3,32.5,26.3,7.2,25.9
11/2/2019,2019,11,November,4,2,0,29.3,33.1,26.2,7.9,33.1
11/1/2019,2019,11,November,4,1,14.8,27.8,33.4,22.9,7.9,45.4
10/31/2019,2019,10,October,4,31,0,28.4,32.1,26.4,5,24.1
10/30/2019,2019,10,October,4,30,0,28.3,32.5,26.4,6.5,40.7
10/29/2019,2019,10,October,4,29,0,28.5,32.5,24.8,6.5,28.1
10/28/2019,2019,10,October,4,28,15.2,26.1,30.4,24.3,5.4,20.9
10/27/2019,2019,10,October,4,27,92.2,27.2,32.8,23.1,6.1,36.4
10/26/2019,2019,10,October,4,26,4.8,27.3,33,23.8,5,28.8
10/25/2019,2019,10,October,4,25,0,29.4,33.3,26.5,7.9,29.5
10/24/2019,2019,10,October,4,24,0,28.1,32.5,25.9,7.6,28.4
10/23/2019,2019,10,October,4,23,0.6,27.4,32,24.7,5.4,29.9
10/22/2019,2019,10,October,4,22,28.8,26.5,29.2,23.9,5.4,24.5
10/21/2019,2019,10,October,4,21,0,28.5,32.6,26.1,7.2,35.3
10/20/2019,2019,10,October,4,20,6.2,28.5,32.9,26.3,9,31
10/19/2019,2019,10,October,4,19,0,29.2,33.6,26.8,9.7,42.8
10/18/2019,2019,10,October,4,18,0,28.5,31.8,26.1,8.3,48.6
10/17/2019,2019,10,October,4,17,0.2,28.8,34,26.3,7.6,38.5
